gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,128,7168,ck,8,0,15.3942,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.12,60.08,0.0
gfx950,256,1,512,7168,ck,8,0,22.2417,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.33,165.37,0.0
gfx950,256,1,1024,7168,ck,8,0,22.7838,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.64,322.56,0.0
gfx950,256,1,2112,7168,ck,8,0,22.4396,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.35,675.15,0.0
gfx950,256,1,2240,7168,ck,8,0,22.4289,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.43,716.4,0.0
gfx950,256,1,3072,1536,ck,8,0,6.5611,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.44,720.35,0.0
gfx950,256,1,4096,512,cktile,1,0,3.3013,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,1.27,637.89,0.0
gfx950,256,1,4096,7168,ck,8,0,22.7643,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.58,1290.42,0.0
gfx950,256,1,4608,7168,ck,8,0,22.7223,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.91,1454.37,0.0
gfx950,256,1,7168,256,ck,8,0,2.9182,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.26,633.82,0.0
gfx950,256,1,7168,512,ck,13,0,4.049,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,1.81,910.07,0.0
gfx950,256,1,7168,2048,ck,8,0,7.9966,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.67,1837.84,0.0
gfx950,256,1,7168,2304,ck,8,0,9.5203,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.47,1736.47,0.0
gfx950,256,1,7168,4096,ck,8,0,14.5736,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.03,2015.88,0.0
