gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,6144,1536,torch.float8_e4m3fn,ck,5,0,5.7647,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,3.27,1639.46,0.0
gfx950,256,2,6144,1536,torch.float8_e4m3fn,ck,10,0,5.7535,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,6.56,1645.06,0.0
gfx950,256,4,6144,1536,torch.float8_e4m3fn,ck,10,0,5.7738,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,13.08,1644.06,0.0
gfx950,256,8,6144,1536,torch.float8_e4m3fn,ck,10,0,5.824,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,25.93,1639.38,0.0
gfx950,256,16,6144,1536,torch.float8_e4m3fn,ck,10,0,5.8011,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,52.06,1664.92,0.0
gfx950,256,32,6144,1536,torch.float8_e4m3fn,ck,10,0,6.0087,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,100.52,1644.21,0.0
gfx950,256,64,6144,1536,torch.float8_e4m3fn,ck,5,0,6.8238,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,177.02,1512.64,0.0
gfx950,256,128,6144,1536,torch.float8_e4m3fn,ck,119,0,7.7745,a8w8_bpreshuffle_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v1,310.75,1441.46,0.0
gfx950,256,256,6144,1536,torch.float8_e4m3fn,ck,112,0,10.024,a8w8_bpreshuffle_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v1,482.03,1294.51,0.0
gfx950,256,512,6144,1536,torch.float8_e4m3fn,ck,77,0,12.9924,a8w8_bpreshuffle_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,743.79,1271.13,0.0
gfx950,256,1024,6144,1536,torch.float8_e4m3fn,ck,121,0,19.3447,a8w8_bpreshuffle_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,999.1,1219.61,0.0
gfx950,256,2048,6144,1536,torch.float8_e4m3fn,ck,68,0,30.1273,a8w8_bpreshuffle_256x128x192x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1283.05,1252.97,0.0
