gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,8,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,180,16,7.8287,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k16_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0316,5.63,718.62
gfx950,256,16,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,180,16,7.9866,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k16_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0308,11.03,719.54
gfx950,256,24,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,180,16,8.0995,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k16_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0318,16.31,724.43
gfx950,256,32,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,180,16,8.1003,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k16_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0298,21.75,739.28
gfx950,256,40,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,180,16,8.1775,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k16_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0303,26.93,747.07
gfx950,256,48,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,179,8,9.1109,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0225,29.0,683.8
gfx950,256,56,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,14,9.3551,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0279,32.95,678.86
gfx950,256,64,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,180,16,8.8653,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k16_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0312,39.74,730.0
gfx950,256,72,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,179,8,9.603,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0222,41.27,686.51
gfx950,256,80,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,179,8,9.2927,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0216,47.39,722.43
gfx950,256,88,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,14,9.9299,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0281,48.79,688.24
gfx950,256,96,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,14,10.5219,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0291,50.23,661.0
gfx950,256,104,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,179,8,10.7243,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0213,53.39,659.8
gfx950,256,112,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,179,8,11.0639,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0217,55.73,650.46
gfx950,256,120,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,179,8,10.5619,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0213,62.55,692.82
gfx950,256,128,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,179,8,12.0315,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0225,58.57,618.24
