cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,_tag
256,1,3072,768,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,14.8353,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4,0.0%,7.6223,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,0.5%,22.4576,0,5.04,80683.09,
256,2,3072,768,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,15.9369,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4_bnt0,0.0%,9.6064,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,0.4%,25.5433,0,8.87,70936.71,
256,4,3072,768,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,20.1916,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w2_bnt0,0.0%,14.3392,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic,0.4%,34.5308,0,13.12,52474.2,
256,8,3072,768,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,31.6611,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4,0.0%,20.1124,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic,0.4%,51.7735,0,17.5,34998.85,
256,16,3072,768,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,50.8717,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3,0.0%,29.5543,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic,0.3%,80.426,0,22.53,22531.11,
256,32,3072,768,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,70.4671,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4,0.0%,41.4032,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic,0.4%,111.8703,0,32.39,16199.42,
256,64,3072,768,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,92.4827,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,17.4%,54.461,flydsl_moe2_afp4_wfp4_bf16_t16x128x256_atomic_persist_sbm32,0.4%,146.9437,0,49.32,12334.85,
256,128,3072,768,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,99.1837,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,17.8%,61.3148,flydsl_moe2_afp4_wfp4_bf16_t16x128x256_atomic_sbm32,0.4%,160.4985,0,90.32,11296.8,
256,256,3072,768,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,101.8754,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_fp4,18.0%,62.3209,flydsl_moe2_afp4_wfp4_bf16_t16x128x256_atomic_persist_sbm32,0.4%,164.1963,0,176.56,11049.57,
256,512,3072,768,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,103.3035,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_fp4,17.9%,67.4932,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic,0.4%,170.7967,0,339.48,10636.38,
256,1024,3072,768,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,117.2095,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4,0.0%,83.6869,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_persist,0.4%,200.8964,0,577.23,9066.25,
256,2048,3072,768,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,154.01600000000002,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w4,0.0%,118.6657,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_sbm128,0.4%,272.6817,0,850.55,6714.11,
256,4096,3072,768,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,225.759,moe_ck2stages_gemm1_256x128x128x128_1x4_MulABScaleShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight0_silu_FP4X2_FP4X2_B16,0.0%,197.3883,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_reduce_sbm128,0.0%,423.1473,0,1096.21,4371.26,
256,8192,3072,768,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,372.9222,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w4_bnt0,0.0%,365.3342,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_reduce,0.0%,738.2564,0,1256.63,2556.61,
256,16384,3072,768,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,619.2387000000001,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w4_bnt0,0.0%,682.629,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_reduce,0.0%,1301.8677,0,1425.2,1507.78,
256,32768,3072,768,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,1079.7018,moe_ck2stages_gemm1_256x128x128x128_1x4_MulABScaleShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight0_silu_FP4X2_FP4X2_B16,0.0%,1306.6176,flydsl_moe2_afp4_wfp4_bf16_t128x128x256_reduce_persist,0.0%,2386.3194,0,1555.05,885.85,
