gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,8,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,8.6686,auto,0.0,0.0,4.25
gfx950,256,2,8,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,8.6273,auto,0.0,0.01,4.75
gfx950,256,4,8,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,8.5797,auto,0.0,0.02,5.74
gfx950,256,8,8,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,8.5207,auto,0.0,0.03,7.71
gfx950,256,16,8,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,6.4602,auto,0.0,0.08,15.26
gfx950,256,32,8,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,7.125,auto,0.0,0.15,23.07
gfx950,256,64,8,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,9.0399,auto,0.0,0.23,32.74
gfx950,256,128,8,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,11.7751,auto,0.0,0.36,47.48
gfx950,256,256,8,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,17.1409,auto,0.0,0.49,63.32
gfx950,256,512,8,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,16.5267,auto,0.0,1.02,129.37
gfx950,256,1,16,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,8.553,auto,0.0,0.01,8.14
gfx950,256,1,16,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,15.7516,auto,0.0,0.01,8.84
gfx950,256,2,16,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,8.6326,auto,0.0,0.02,8.55
gfx950,256,2,16,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,15.7032,auto,0.0,0.02,9.39
gfx950,256,4,16,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,8.6911,auto,0.0,0.03,9.44
gfx950,256,4,16,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,15.7676,auto,0.0,0.03,10.4
gfx950,256,8,16,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,8.5657,auto,0.0,0.06,11.51
gfx950,256,8,16,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,15.7738,auto,0.0,0.07,12.48
gfx950,256,16,16,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,6.5926,auto,0.0,0.16,19.96
gfx950,256,16,16,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,11.4059,auto,0.0,0.18,23.03
gfx950,256,32,16,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,7.3489,auto,0.0,0.29,26.89
gfx950,256,32,16,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,12.907,auto,0.0,0.32,30.54
gfx950,256,64,16,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,9.1416,auto,0.0,0.46,36.07
gfx950,256,64,16,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,16.1058,auto,0.0,0.52,40.82
gfx950,256,128,16,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,12.268,auto,0.0,0.68,48.41
gfx950,256,128,16,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,21.8761,auto,0.0,0.77,54.11
gfx950,256,256,16,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,18.1055,auto,0.0,0.93,61.99
gfx950,256,256,16,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,33.0582,auto,0.0,1.02,67.65
gfx950,256,512,16,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,17.3976,auto,0.0,1.93,125.25
gfx950,256,512,16,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,36.1578,auto,0.0,1.86,120.08
gfx950,256,1,32,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,15.77,auto,0.0,0.02,17.15
gfx950,256,2,32,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,15.7258,auto,0.0,0.03,17.72
gfx950,256,4,32,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,15.8163,auto,0.0,0.07,18.66
gfx950,256,8,32,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,15.8436,auto,0.0,0.13,20.71
gfx950,256,16,32,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,11.6452,auto,0.0,0.36,33.85
gfx950,256,32,32,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,12.5224,auto,0.0,0.67,42.03
gfx950,256,64,32,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,15.9027,auto,0.0,1.05,49.71
gfx950,256,128,32,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,23.4874,auto,0.0,1.43,56.15
gfx950,256,256,32,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,35.0377,auto,0.0,1.92,67.8
gfx950,256,512,32,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,37.9273,auto,0.0,3.54,118.36
gfx950,256,1,64,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,167,16,3.1281,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k16_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0156,0.08,85.15
gfx950,256,2,64,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,167,16,3.7245,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k16_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0469,0.14,72.65
gfx950,256,4,64,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,179,8,3.705,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0195,0.28,75.31
gfx950,256,8,64,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,179,8,3.6694,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0195,0.57,80.65
gfx950,256,16,64,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,179,8,3.7634,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0176,1.11,87.61
gfx950,256,32,64,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,167,16,3.9607,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k16_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0293,2.12,100.31
gfx950,256,64,64,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,179,8,3.8717,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0183,4.33,137.53
gfx950,256,128,64,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,179,8,4.0346,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0199,8.32,198.98
gfx950,256,256,64,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,289,8,4.6128,flydsl_gemm2_abf16_wbf16_bf16_t64x64x128_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0165,14.55,291.25
gfx950,256,512,64,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,289,8,5.3966,flydsl_gemm2_abf16_wbf16_bf16_t64x64x128_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0153,24.87,449.33
gfx950,256,1,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,167,16,4.3182,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k16_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0312,0.24,244.78
gfx950,256,2,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,167,16,4.4337,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k16_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0156,0.47,240.31
gfx950,256,4,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,167,16,4.4231,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k16_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0234,0.95,244.71
gfx950,256,8,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,167,16,4.3574,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k16_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0283,1.93,256.15
gfx950,256,16,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,167,16,4.5746,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k16_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0269,3.67,258.76
gfx950,256,32,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,167,16,4.6646,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k16_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0308,7.19,282.75
gfx950,256,64,128,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,167,16,4.7716,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k16_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0302,14.06,333.06
