M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
1,64,2048,False,torch.bfloat16,torch.bfloat16,False,False
2,64,2048,False,torch.bfloat16,torch.bfloat16,False,False
4,64,2048,False,torch.bfloat16,torch.bfloat16,False,False
8,64,2048,False,torch.bfloat16,torch.bfloat16,False,False
16,64,2048,False,torch.bfloat16,torch.bfloat16,False,False
32,64,2048,False,torch.bfloat16,torch.bfloat16,False,False
64,64,2048,False,torch.bfloat16,torch.bfloat16,False,False
128,64,2048,False,torch.bfloat16,torch.bfloat16,False,False
256,64,2048,False,torch.bfloat16,torch.bfloat16,False,False
512,64,2048,False,torch.bfloat16,torch.bfloat16,False,False
1,16,2048,False,torch.bfloat16,torch.bfloat16,False,False
2,16,2048,False,torch.bfloat16,torch.bfloat16,False,False
4,16,2048,False,torch.bfloat16,torch.bfloat16,False,False
8,16,2048,False,torch.bfloat16,torch.bfloat16,False,False
16,16,2048,False,torch.bfloat16,torch.bfloat16,False,False
32,16,2048,False,torch.bfloat16,torch.bfloat16,False,False
64,16,2048,False,torch.bfloat16,torch.bfloat16,False,False
128,16,2048,False,torch.bfloat16,torch.bfloat16,False,False
256,16,2048,False,torch.bfloat16,torch.bfloat16,False,False
512,16,2048,False,torch.bfloat16,torch.bfloat16,False,False
1,8,2048,False,torch.bfloat16,torch.bfloat16,False,False
2,8,2048,False,torch.bfloat16,torch.bfloat16,False,False
4,8,2048,False,torch.bfloat16,torch.bfloat16,False,False
8,8,2048,False,torch.bfloat16,torch.bfloat16,False,False
16,8,2048,False,torch.bfloat16,torch.bfloat16,False,False
32,8,2048,False,torch.bfloat16,torch.bfloat16,False,False
64,8,2048,False,torch.bfloat16,torch.bfloat16,False,False
128,8,2048,False,torch.bfloat16,torch.bfloat16,False,False
256,8,2048,False,torch.bfloat16,torch.bfloat16,False,False
512,8,2048,False,torch.bfloat16,torch.bfloat16,False,False
1,513,2048,False,torch.bfloat16,torch.bfloat16,False,False
2,513,2048,False,torch.bfloat16,torch.bfloat16,False,False
4,513,2048,False,torch.bfloat16,torch.bfloat16,False,False
8,513,2048,False,torch.bfloat16,torch.bfloat16,False,False
16,513,2048,False,torch.bfloat16,torch.bfloat16,False,False
32,513,2048,False,torch.bfloat16,torch.bfloat16,False,False
64,513,2048,False,torch.bfloat16,torch.bfloat16,False,False
128,513,2048,False,torch.bfloat16,torch.bfloat16,False,False
256,513,2048,False,torch.bfloat16,torch.bfloat16,False,False
512,513,2048,False,torch.bfloat16,torch.bfloat16,False,False
1,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
2,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
4,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
8,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
16,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
32,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
64,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
128,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
256,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
512,128,4096,False,torch.bfloat16,torch.bfloat16,False,False
1,32,4096,False,torch.bfloat16,torch.bfloat16,False,False
2,32,4096,False,torch.bfloat16,torch.bfloat16,False,False
4,32,4096,False,torch.bfloat16,torch.bfloat16,False,False
8,32,4096,False,torch.bfloat16,torch.bfloat16,False,False
16,32,4096,False,torch.bfloat16,torch.bfloat16,False,False
32,32,4096,False,torch.bfloat16,torch.bfloat16,False,False
64,32,4096,False,torch.bfloat16,torch.bfloat16,False,False
128,32,4096,False,torch.bfloat16,torch.bfloat16,False,False
256,32,4096,False,torch.bfloat16,torch.bfloat16,False,False
512,32,4096,False,torch.bfloat16,torch.bfloat16,False,False
1,16,4096,False,torch.bfloat16,torch.bfloat16,False,False
2,16,4096,False,torch.bfloat16,torch.bfloat16,False,False
4,16,4096,False,torch.bfloat16,torch.bfloat16,False,False
8,16,4096,False,torch.bfloat16,torch.bfloat16,False,False
16,16,4096,False,torch.bfloat16,torch.bfloat16,False,False
32,16,4096,False,torch.bfloat16,torch.bfloat16,False,False
64,16,4096,False,torch.bfloat16,torch.bfloat16,False,False
128,16,4096,False,torch.bfloat16,torch.bfloat16,False,False
256,16,4096,False,torch.bfloat16,torch.bfloat16,False,False
512,16,4096,False,torch.bfloat16,torch.bfloat16,False,False
1,513,4096,False,torch.bfloat16,torch.bfloat16,False,False
2,513,4096,False,torch.bfloat16,torch.bfloat16,False,False
4,513,4096,False,torch.bfloat16,torch.bfloat16,False,False
8,513,4096,False,torch.bfloat16,torch.bfloat16,False,False
16,513,4096,False,torch.bfloat16,torch.bfloat16,False,False
32,513,4096,False,torch.bfloat16,torch.bfloat16,False,False
64,513,4096,False,torch.bfloat16,torch.bfloat16,False,False
128,513,4096,False,torch.bfloat16,torch.bfloat16,False,False
256,513,4096,False,torch.bfloat16,torch.bfloat16,False,False
512,513,4096,False,torch.bfloat16,torch.bfloat16,False,False
